名称,请求方式,地址,说明,支持自建应用,支持商店应用,文档链接
添加人员,POST,/open-apis/corehr/v2/employees,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/employee/create
创建个人信息,POST,/open-apis/corehr/v2/persons,创建个人信息,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/person/create
更新个人信息,PATCH,/open-apis/corehr/v2/persons/:person_id,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/person/patch
删除个人信息,DELETE,/open-apis/corehr/v1/persons/:person_id,删除人员的个人信息。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/person/delete
上传文件,POST,/open-apis/corehr/v1/persons/upload,上传文件。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/person/upload
下载文件,GET,/open-apis/corehr/v1/files/:id,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/file/get
创建雇佣信息,POST,/open-apis/corehr/v1/employments,创建人员的雇佣信息。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/employment/create
更新雇佣信息,PATCH,/open-apis/corehr/v1/employments/:employment_id,更新雇佣信息。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/employment/patch
删除雇佣信息,DELETE,/open-apis/corehr/v1/employments/:employment_id,删除人员的雇佣信息。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/employment/delete
创建任职信息,POST,/open-apis/corehr/v1/job_datas,在系统中第一次创建员工任职数据，通常在员工入职或者做数据批量导入的时候使用，【任职原因】只支持填写“入职”。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/job_data/create
删除任职信息,DELETE,/open-apis/corehr/v1/job_datas/:job_data_id,删除人员的任职信息。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/job_data/delete
更新任职信息,PATCH,/open-apis/corehr/v1/job_datas/:job_data_id,更新任职信息，「任职原因」不可填「onboarding」,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/job_data/patch
获取任职信息列表,POST,/open-apis/corehr/v2/employees/job_datas/query,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/employees-job_data/query
批量查询员工任职信息,POST,/open-apis/corehr/v2/employees/job_datas/batch_get,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/employees-job_data/batch_get
批量查询任职信息,GET,/open-apis/corehr/v1/job_datas,批量查询人员的任职信息。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/job_data/list
查询单个任职信息,GET,/open-apis/corehr/v1/job_datas/:job_data_id,根据 ID 查询单任职信息。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/job_data/get
创建外派信息,POST,/open-apis/corehr/v2/employees/international_assignments,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/employees-international_assignment/create
更新外派信息,PATCH,/open-apis/corehr/v2/employees/international_assignments/:international_assignment_id,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/employees-international_assignment/patch
批量查询外派信息,GET,/open-apis/corehr/v2/employees/international_assignments,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/employees-international_assignment/list
删除外派信息,DELETE,/open-apis/corehr/v2/employees/international_assignments/:international_assignment_id,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/employees-international_assignment/delete
创建兼职,POST,/open-apis/corehr/v2/employees/additional_jobs,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/employees-additional_job/create
更新兼职,PATCH,/open-apis/corehr/v2/employees/additional_jobs/:additional_job_id,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/employees-additional_job/patch
删除兼职,DELETE,/open-apis/corehr/v2/employees/additional_jobs/:additional_job_id,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/employees-additional_job/delete
批量查询兼职信息,POST,/open-apis/corehr/v2/employees/additional_jobs/batch,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/employees-additional_job/batch
更新默认成本中心,POST,/open-apis/corehr/v2/default_cost_centers/update_version,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/default_cost_center/update_version
删除默认成本中心,POST,/open-apis/corehr/v2/default_cost_centers/remove_version,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/default_cost_center/remove_version
添加默认成本中心,POST,/open-apis/corehr/v2/default_cost_centers/create_version,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/default_cost_center/create_version
查询默认成本中心,POST,/open-apis/corehr/v2/default_cost_centers/batch_query,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/default_cost_center/batch_query
更新成本分摊,POST,/open-apis/corehr/v2/cost_allocations/update_version,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/cost_allocation/update_version
删除成本分摊,POST,/open-apis/corehr/v2/cost_allocations/remove_version,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/cost_allocation/remove_version
创建成本分摊,POST,/open-apis/corehr/v2/cost_allocations/create_version,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/cost_allocation/create_version
查询成本分摊,POST,/open-apis/corehr/v2/cost_allocations/batch_query,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/cost_allocation/batch_query
批量查询部门操作日志,POST,/open-apis/corehr/departments/query_operation_logs,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/department/query_operation_logs
创建部门,POST,/open-apis/corehr/v1/departments,创建部门。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/department/create
更新部门,PATCH,/open-apis/corehr/v2/departments/:department_id,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/department/patch
获取父部门信息,POST,/open-apis/corehr/v2/departments/parents,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/department/parents
批量查询部门,POST,/open-apis/corehr/v2/departments/batch_get,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/department/batch_get
查询生效信息变更部门,GET,/open-apis/corehr/v2/departments/query_recent_change,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/department/query_recent_change
查询指定生效日期的部门基本信息,POST,/open-apis/corehr/v2/departments/query_timeline,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/department/query_timeline
查询指定生效日期的部门架构树,POST,/open-apis/corehr/v2/departments/tree,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/department/tree
批量查询部门版本信息,POST,/open-apis/corehr/v2/departments/query_multi_timeline,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/department/query_multi_timeline
搜索部门信息,POST,/open-apis/corehr/v2/departments/search,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/department/search
删除部门 V2,DELETE,/open-apis/corehr/v2/departments/:department_id,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/department/delete
创建地点,POST,/open-apis/corehr/v1/locations,创建地点。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/location/create
更新地点,PATCH,/open-apis/corehr/v2/locations/:location_id,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/location/patch
查询单个地点,GET,/open-apis/corehr/v1/locations/:location_id,根据 ID 查询单个地点。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/location/get
查询当前生效信息发生变更的地点,GET,/open-apis/corehr/v2/locations/query_recent_change,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/location/query_recent_change
通过地点 ID 批量获取地点信息,POST,/open-apis/corehr/v2/locations/batch_get,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/location/batch_get
批量分页查询地点信息,GET,/open-apis/corehr/v1/locations,批量查询地点。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/location/list
