名称,请求方式,地址,说明,支持自建应用,支持商店应用,文档链接
获取事件出口 IP,GET,/open-apis/event/v1/outbound_ip,飞书开放平台向应用配置的回调地址推送事件时，是通过特定的 IP 发送出去的，应用可以通过本接口获取所有相关的 IP 地址。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uYDNxYjL2QTM24iN0EjN/event-v1/outbound_ip/list
获取用户信息,GET,/open-apis/authen/v1/user_info,通过 `user_access_token` 获取登录用户的信息。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/authen-v1/user_info/get
批量获取脱敏的用户登录信息,POST,/open-apis/passport/v1/sessions/query,该接口用于查询用户的登录信息。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/passport-v1/session/query
退出登录,POST,/open-apis/passport/v1/sessions/logout,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/passport-v1/session/logout
自建应用获取 tenant_access_token,POST,/open-apis/auth/v3/tenant_access_token/internal,企业自建应用通过此接口获取 tenant_access_token，调用接口获取企业资源时，需要使用 tenant_access_token 作为授权凭证。,是,否,https://open.feishu.cn/document/ukTMukTMukTM/ukDNz4SO0MjL5QzM/auth-v3/auth/tenant_access_token_internal
自建应用获取 app_access_token,POST,/open-apis/auth/v3/app_access_token/internal,企业自建应用通过此接口获取 app_access_token，调用接口获取应用资源时，需要使用 app_access_token 作为授权凭证。,是,否,https://open.feishu.cn/document/ukTMukTMukTM/ukDNz4SO0MjL5QzM/auth-v3/auth/app_access_token_internal
重新获取 app_ticket,POST,/open-apis/auth/v3/app_ticket/resend,飞书每隔 1 小时会给应用推送一次最新的 app_ticket，应用也可以主动调用此接口，触发飞书进行及时的重新推送。（该接口并不能直接获取app_ticket，而是触发事件推送）,否,是,https://open.feishu.cn/document/ukTMukTMukTM/ukDNz4SO0MjL5QzM/auth-v3/auth/app_ticket_resend
商店应用获取 app_access_token,POST,/open-apis/auth/v3/app_access_token,应用商店应用通过此接口获取 app_access_token，调用接口获取应用资源时，需要使用 app_access_token 作为授权凭证。,否,是,https://open.feishu.cn/document/ukTMukTMukTM/ukDNz4SO0MjL5QzM/auth-v3/auth/app_access_token
商店应用获取 tenant_access_token,POST,/open-apis/auth/v3/tenant_access_token,应用商店应用通过此接口获取 tenant_access_token，调用接口获取企业资源时，需要使用 tenant_access_token 作为授权凭证。,否,是,https://open.feishu.cn/document/ukTMukTMukTM/ukDNz4SO0MjL5QzM/auth-v3/auth/tenant_access_token
获取通讯录授权范围,GET,/open-apis/contact/v3/scopes,该接口用于获取应用被授权可访问的通讯录范围，包括可访问的部门列表、用户列表和用户组列表。 授权范围为全员时，返回的部门列表为该企业所有的一级部门；否则返回的部门为管理员在设置授权范围时勾选的部门（不包含勾选部门的子部门）。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/scope/list
创建用户,POST,/open-apis/contact/v3/users,使用该接口向通讯录创建一个用户，可以理解为员工入职。创建用户后只返回有数据权限的数据。具体的数据权限的与字段的对应关系请参照[应用权限](/ssl:ttdoc/ukTMukTMukTM/uQjN3QjL0YzN04CN2cDN)。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/user/create
修改用户部分信息,PATCH,/open-apis/contact/v3/users/:user_id,该接口用于更新通讯录中用户的字段，未传递的参数不会更新。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/user/patch
更新用户 ID,PATCH,/open-apis/contact/v3/users/:user_id/update_user_id,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/user/update_user_id
获取单个用户信息,GET,/open-apis/contact/v3/users/:user_id,该接口用于获取通讯录中单个用户的信息。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/user/get
批量获取用户信息,GET,/open-apis/contact/v3/users/batch,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/user/batch
获取部门直属用户列表,GET,/open-apis/contact/v3/users/find_by_department,基于部门ID获取部门直属用户列表。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/user/find_by_department
通过手机号或邮箱获取用户 ID,POST,/open-apis/contact/v3/users/batch_get_id,通过该接口，可使用手机号/邮箱获取用户的 ID 信息，具体获取支持的 ID 类型包括 open_id、user_id、union_id，可通过查询参数指定。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/user/batch_get_id
搜索用户,GET,/open-apis/search/v1/user,以用户身份搜索其他用户的信息，无法搜索到外部企业或已离职的用户。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uMTM4UjLzEDO14yMxgTN
删除用户,DELETE,/open-apis/contact/v3/users/:user_id,该接口用于从通讯录删除一个用户信息，可以理解为员工离职。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/user/delete
恢复已删除用户,POST,/open-apis/contact/v3/users/:user_id/resurrect,该接口用于恢复已删除用户（已离职的成员），仅自建应用可申请，应用商店应用无权调用接口。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/user/resurrect
创建用户组,POST,/open-apis/contact/v3/group,使用该接口创建用户组，请注意创建用户组时应用的通讯录权限范围需为“全部员工”，否则会创建失败，[点击了解通讯录权限范围](/ssl:ttdoc/ukTMukTMukTM/uETNz4SM1MjLxUzM/v3/guides/scope_authority)。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/group/create
更新用户组,PATCH,/open-apis/contact/v3/group/:group_id,使用该接口更新用户组信息，请注意更新用户组时应用的通讯录权限范围需为“全部员工”，否则会更新失败。[点击了解通讯录权限范围](/ssl:ttdoc/ukTMukTMukTM/uETNz4SM1MjLxUzM/v3/guides/scope_authority)。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/group/patch
查询指定用户组,GET,/open-apis/contact/v3/group/:group_id,根据用户组 ID 查询某个用户组的基本信息，支持查询普通用户组和动态用户组。请确保应用的通讯录权限范围里包括该用户组或者是“全部员工”，[点击了解通讯录权限范围](/ssl:ttdoc/ukTMukTMukTM/uETNz4SM1MjLxUzM/v3/guides/scope_authority)。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/group/get
查询用户组列表,GET,/open-apis/contact/v3/group/simplelist,通过该接口可查询企业的用户组列表，可分别查询普通用户组或动态用户组。如果应用的通讯录权限范围是“全部员工”，则可获取企业全部用户组列表。如果应用的通讯录权限范围不是“全部员工”，则仅可获取通讯录权限范围内的用户组。[点击了解通讯录权限范围](/ssl:ttdoc/ukTMukTMukTM/uETNz4SM1MjLxUzM/v3/guides/scope_authority)。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/group/simplelist
查询用户所属用户组,GET,/open-apis/contact/v3/group/member_belong,通过该接口可查询该用户所属的用户组列表，可分别查询普通用户组和动态用户组。如果应用的通讯录权限范围是“全部员工”，则可获取该员工所属的全部用户组列表。如果应用的通讯录权限范围不是“全部员工”，则仅可获取通讯录权限范围内该员工所属的用户组。[点击了解通讯录权限范围](/ssl:ttdoc/ukTMukTMukTM/uETNz4SM1MjLxUzM/v3/guides/scope_authority)。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/group/member_belong
删除用户组,DELETE,/open-apis/contact/v3/group/:group_id,通过该接口可删除企业中的用户组，请注意删除用户组时应用的通讯录权限范围需为“全部员工”，否则会删除失败，[点击了解通讯录权限范围](/ssl:ttdoc/ukTMukTMukTM/uETNz4SM1MjLxUzM/v3/guides/scope_authority)。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/group/delete
获取企业自定义用户字段,GET,/open-apis/contact/v3/custom_attrs,获取企业自定义的用户字段配置信息,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/custom_attr/list
新增人员类型,POST,/open-apis/contact/v3/employee_type_enums,新增自定义人员类型。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/employee_type_enum/create
更新人员类型,PUT,/open-apis/contact/v3/employee_type_enums/:enum_id,更新自定义人员类型。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/employee_type_enum/update
查询人员类型,GET,/open-apis/contact/v3/employee_type_enums,该接口用于获取员工的人员类型。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/employee_type_enum/list
删除人员类型,DELETE,/open-apis/contact/v3/employee_type_enums/:enum_id,删除自定义人员类型。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/employee_type_enum/delete
创建部门,POST,/open-apis/contact/v3/departments,该接口用于向通讯录中创建部门。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/department/create
修改部门部分信息,PATCH,/open-apis/contact/v3/departments/:department_id,该接口用于更新通讯录中部门的信息。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/department/patch
更新部门所有信息,PUT,/open-apis/contact/v3/departments/:department_id,该接口用于更新当前部门所有信息。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/department/update
更新部门 ID,PATCH,/open-apis/contact/v3/departments/:department_id/update_department_id,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/department/update_department_id
部门群转为普通群,POST,/open-apis/contact/v3/departments/unbind_department_chat,通过该接口将部门群转为普通群。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/department/unbind_department_chat
获取单个部门信息,GET,/open-apis/contact/v3/departments/:department_id,该接口用于向通讯录获取单个部门信息。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/department/get
批量获取部门信息,GET,/open-apis/contact/v3/departments/batch,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/department/batch
获取子部门列表,GET,/open-apis/contact/v3/departments/:department_id/children,通过部门ID获取部门的子部门列表。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/department/children
获取父部门信息,GET,/open-apis/contact/v3/departments/parent,该接口用来递归获取部门父部门的信息，并按照由子到父的顺序返回有权限的父部门信息列表。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/department/parent
搜索部门,POST,/open-apis/contact/v3/departments/search,搜索部门，用户通过关键词查询可见的部门数据，部门可见性需要管理员在后台配置。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/department/search
删除部门,DELETE,/open-apis/contact/v3/departments/:department_id,该接口用于从通讯录中删除部门。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/department/delete
创建单位,POST,/open-apis/contact/v3/unit,该接口用于创建单位。注意：单位功能属于旗舰版付费功能，企业需开通对应版本才可以创建单位，不同版本请参考[飞书版本对比](https://www.feishu.cn/service)。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/unit/create
修改单位信息,PATCH,/open-apis/contact/v3/unit/:unit_id,调用该接口，需要有更新单位的权限。注意：单位功能属于旗舰版付费功能，企业需开通对应版本才可以修改单位。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/unit/patch
建立部门与单位的绑定关系,POST,/open-apis/contact/v3/unit/bind_department,通过该接口建立部门与单位的绑定关系。由于单位是旗舰版付费功能，企业需开通相关版本，否则会绑定失败，不同版本请参考[飞书版本对比](https://www.feishu.cn/service)。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/unit/bind_department
解除部门与单位的绑定关系,POST,/open-apis/contact/v3/unit/unbind_department,通过该接口解除部门与单位的绑定关系，需更新单位的权限，需对应部门的通讯录权限。由于单位是旗舰版付费功能，企业需开通相关功能，否则会解绑失败。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/unit/unbind_department
获取单位绑定的部门列表,GET,/open-apis/contact/v3/unit/list_department,通过该接口获取单位绑定的部门列表，需具有获取单位的权限。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/unit/list_department
获取单位信息,GET,/open-apis/contact/v3/unit/:unit_id,该接口用于获取单位信息。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/unit/get
获取单位列表,GET,/open-apis/contact/v3/unit,通过该接口获取企业的单位列表，需获取单位的权限。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/unit/list
删除单位,DELETE,/open-apis/contact/v3/unit/:unit_id,使用该接口删除单位，需要有更新单位的权限。注意：如果单位的单位类型被其它的业务使用，不允许删除。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/unit/delete
添加用户组成员,POST,/open-apis/contact/v3/group/:group_id/member/add,向用户组中添加成员(目前成员仅支持用户，未来会支持部门)，如果应用的通讯录权限范围是“全部员工”，则可将任何成员添加到任何用户组。如果应用的通讯录权限范围不是“全部员工”，则仅可将通讯录权限范围中的成员添加到通讯录权限范围的用户组中，[点击了解通讯录权限范围](/ssl:ttdoc/ukTMukTMukTM/uETNz4SM1MjLxUzM/v3/guides/scope_authority)。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/group-member/add
批量添加用户组成员,POST,/open-apis/contact/v3/group/:group_id/member/batch_add,向普通用户组中批量添加成员(目前仅支持添加用户，暂不支持添加部门），如果应用的通讯录权限范围是“全部员工”，则可将任何成员添加到任何用户组。如果应用的通讯录权限范围不是“全部员工”，则仅可将通讯录权限范围中的成员添加到通讯录权限范围的用户组中，[点击了解通讯录权限范围](/ssl:ttdoc/ukTMukTMukTM/uETNz4SM1MjLxUzM/v3/guides/scope_authority)。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/group-member/batch_add
查询用户组成员列表,GET,/open-apis/contact/v3/group/:group_id/member/simplelist,"通过该接口可查询某个用户组的成员列表（支持查询成员中的用户和部门）, 本接口支持普通用户组和动态用户组。如果应用的通讯录权限范围是“全部员工”，则可查询企业内任何用户组的成员列表。如果应用的通讯录权限范围不是“全部员工”，则仅可查询通讯录权限范围中的用户组的成员列表，[点击了解通讯录权限范围](/ssl:ttdoc/ukTMukTMukTM/uETNz4SM1MjLxUzM/v3/guides/scope_authority)。",是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/group-member/simplelist
移除用户组成员,POST,/open-apis/contact/v3/group/:group_id/member/remove,从用户组中移除成员 (目前成员仅支持用户，未来会支持部门)，如果应用的通讯录权限范围是“全部员工”，则可将任何成员移出任何用户组。如果应用的通讯录权限范围不是“全部员工”，则仅可将通讯录权限范围中的成员从通讯录权限范围的用户组中移除， [点击了解通讯录权限范围](/ssl:ttdoc/ukTMukTMukTM/uETNz4SM1MjLxUzM/v3/guides/scope_authority)。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/group-member/remove
批量移除用户组成员,POST,/open-apis/contact/v3/group/:group_id/member/batch_remove,从普通用户组中批量移除成员 (目前仅支持移除用户，暂不支持移除部门）。如果应用的通讯录权限范围是“全部员工”，则可将任何成员移出任何用户组。如果应用的通讯录权限范围不是“全部员工”，则仅可将通讯录权限范围中的成员从通讯录权限范围的用户组中移除， [点击了解通讯录权限范围](/ssl:ttdoc/ukTMukTMukTM/uETNz4SM1MjLxUzM/v3/guides/scope_authority)。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/group-member/batch_remove
创建角色,POST,/open-apis/contact/v3/functional_roles,通过”创建角色“接口可批量完成角色创建，新增角色同步展示至租户的管理后台-角色管理模块。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/functional_role/create
修改角色名称,PUT,/open-apis/contact/v3/functional_roles/:role_id,通过本接口可以修改角色名称,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/functional_role/update
删除角色,DELETE,/open-apis/contact/v3/functional_roles/:role_id,通过本接口可以删除某个角色,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/functional_role/delete
批量添加角色成员,POST,/open-apis/contact/v3/functional_roles/:role_id/members/batch_create,通过”批量添加角色成员“接口可批量添加成员，成员信息同步展示至租户的管理后台-角色管理模块。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/functional_role-member/batch_create
批量设置角色成员管理范围,PATCH,/open-apis/contact/v3/functional_roles/:role_id/members/scopes,通过该接口可设置本租户下角色成员的管理范围，以便在审批等场景中应用。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/functional_role-member/scopes
查询角色下某个成员的管理范围,GET,/open-apis/contact/v3/functional_roles/:role_id/members/:member_id,通过本接口可以查询某个成员的管理范围,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/functional_role-member/get
查询角色下的所有成员信息,GET,/open-apis/contact/v3/functional_roles/:role_id/members,通过本接口可以查询角色ID下的成员信息（含成员ID及其管理范围）,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/functional_role-member/list
删除角色下的成员,PATCH,/open-apis/contact/v3/functional_roles/:role_id/members/batch_delete,通过本接口可以删除角色下的某个/些成员,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/functional_role-member/batch_delete
创建职级,POST,/open-apis/contact/v3/job_levels,该接口可以创建职级。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/job_level/create
更新职级,PUT,/open-apis/contact/v3/job_levels/:job_level_id,该接口用于更新职级信息。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/job_level/update
获取单个职级信息,GET,/open-apis/contact/v3/job_levels/:job_level_id,该接口可以获取单个职级的信息。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/job_level/get
获取租户职级列表,GET,/open-apis/contact/v3/job_levels,该接口可以获取租户职级列表。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/job_level/list
删除职级,DELETE,/open-apis/contact/v3/job_levels/:job_level_id,该接口用于删除职级。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/job_level/delete
创建序列,POST,/open-apis/contact/v3/job_families,该接口用于创建租户内的序列信息。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/job_family/create
更新序列,PUT,/open-apis/contact/v3/job_families/:job_family_id,该接口用于更新租户序列的信息。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/job_family/update
获取单个序列信息,GET,/open-apis/contact/v3/job_families/:job_family_id,该接口用于获取单个序列信息。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/job_family/get
获取租户序列列表,GET,/open-apis/contact/v3/job_families,该接口用于获取租户序列列表。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/job_family/list
删除序列,DELETE,/open-apis/contact/v3/job_families/:job_family_id,该接口用于删除租户内的序列。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/job_family/delete
获取单个职务信息,GET,/open-apis/contact/v3/job_titles/:job_title_id,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/job_title/get
获取租户职务列表,GET,/open-apis/contact/v3/job_titles,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/job_title/list
获取单个工作城市信息,GET,/open-apis/contact/v3/work_cities/:work_city_id,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/work_city/get
获取租户工作城市列表,GET,/open-apis/contact/v3/work_cities,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/work_city/list
创建员工,POST,/open-apis/directory/v1/employees,本接口用于在企业下创建员工，可以理解为员工入职。 员工指飞书企业内身份为「Employee」的成员，等同于通讯录OpenAPI中的「User」。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/directory-v1/employee/create
更新员工信息,PATCH,/open-apis/directory/v1/employees/:employee_id,本接口用于更新在职/离职员工的信息、冻结/恢复员工。未传递的参数不会进行更新。 员工指飞书企业内身份为「Employee」的成员，等同于通讯录OpenAPI中的「User」。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/directory-v1/employee/patch
离职员工,DELETE,/open-apis/directory/v1/employees/:employee_id,本接口用于离职员工。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/directory-v1/employee/delete
恢复离职员工,POST,/open-apis/directory/v1/employees/:employee_id/resurrect,该接口用于恢复已离职的成员。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/directory-v1/employee/resurrect
更新在职员工为待离职,PATCH,/open-apis/directory/v1/employees/:employee_id/to_be_resigned,本接口用于为在职员工办理离职，将其更新为「待离职」状态。「待离职」员工不会自动离职，需要使用「离职员工」API操作离职和资源转交。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/directory-v1/employee/to_be_resigned
更新待离职成员为在职,PATCH,/open-apis/directory/v1/employees/:employee_id/regular,本接口用于为待离职员工取消离职，将其更新为「在职」状态。取消离职时会清空离职信息。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/directory-v1/employee/regular
批量获取员工信息,POST,/open-apis/directory/v1/employees/mget,本接口用于批量根据员工的ID查询员工的详情。 员工指飞书企业内身份为「Employee」的成员，等同于通讯录OpenAPI中的「User」。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/directory-v1/employee/mget
批量获取员工列表,POST,/open-apis/directory/v1/employees/filter,本接口用于依据指定条件，批量获取符合条件的员工详情列表。 员工指飞书企业内身份为「Employee」的成员，等同于通讯录OpenAPI中的「User」。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/directory-v1/employee/filter
搜索员工信息,POST,/open-apis/directory/v1/employees/search,本接口用于搜索员工信息。 员工指飞书企业内身份为「Employee」的成员，等同于通讯录OpenAPI中的「User」。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/directory-v1/employee/search
创建部门,POST,/open-apis/directory/v1/departments,用于在企业下创建部门,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/directory-v1/department/create
更新部门,PATCH,/open-apis/directory/v1/departments/:department_id,用于更新部门信息。仅更新显式传参的部分,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/directory-v1/department/patch
删除部门,DELETE,/open-apis/directory/v1/departments/:department_id,用于删除部门。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/directory-v1/department/delete
批量获取部门信息,POST,/open-apis/directory/v1/departments/mget,用于批量根据部门的ID查询部门的详情,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/directory-v1/department/mget
获取部门列表,POST,/open-apis/directory/v1/departments/filter,用于依据指定条件，批量获取符合条件的部门详情列表。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/directory-v1/department/filter
搜索部门,POST,/open-apis/directory/v1/departments/search,用于搜索部门信息,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/directory-v1/department/search
发送消息,POST,/open-apis/im/v1/messages,给指定用户或者会话发送消息，支持文本、富文本、可交互的[消息卡片](/ssl:ttdoc/ukTMukTMukTM/uczM3QjL3MzN04yNzcDN)、群名片、个人名片、图片、视频、音频、文件、表情包。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/im-v1/message/create
回复消息,POST,/open-apis/im/v1/messages/:message_id/reply,回复指定消息，支持文本、富文本、卡片、群名片、个人名片、图片、视频、文件等多种消息类型。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/im-v1/message/reply
编辑消息,PUT,/open-apis/im/v1/messages/:message_id,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/im-v1/message/update
转发消息,POST,/open-apis/im/v1/messages/:message_id/forward,向一个用户或群聊转发一条指定消息。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/im-v1/message/forward
合并转发消息,POST,/open-apis/im/v1/messages/merge_forward,将来自同一个群聊中的多条消息合并转发给指定用户或群聊。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/im-v1/message/merge_forward
转发话题,POST,/open-apis/im/v1/threads/:thread_id/forward,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/im-v1/thread/forward
撤回消息,DELETE,/open-apis/im/v1/messages/:message_id,机器人撤回机器人自己发送的消息或群主撤回群内消息。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/im-v1/message/delete
添加跟随气泡,POST,/open-apis/im/v1/messages/:message_id/push_follow_up,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/im-v1/message/push_follow_up
查询消息已读信息,GET,/open-apis/im/v1/messages/:message_id/read_users,查询消息的已读信息。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/im-v1/message/read_users
获取会话历史消息,GET,/open-apis/im/v1/messages,获取会话（包括单聊、群组）的历史消息（聊天记录）。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/im-v1/message/list
获取消息中的资源文件,GET,/open-apis/im/v1/messages/:message_id/resources/:file_key,获取消息中的资源文件，包括音频，视频，图片和文件，**暂不支持表情包资源下载**。当前仅支持 100M 以内的资源文件的下载。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/im-v1/message-resource/get
获取指定消息的内容,GET,/open-apis/im/v1/messages/:message_id,通过 message_id 查询消息内容。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/im-v1/message/get
批量发送消息,POST,/open-apis/message/v4/batch_send/,给多个用户或者多个部门发送消息。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/ucDO1EjL3gTNx4yN4UTM
批量撤回消息,DELETE,/open-apis/im/v1/batch_messages/:batch_message_id,批量撤回通过[批量发送消息](/ssl:ttdoc/ukTMukTMukTM/ucDO1EjL3gTNx4yN4UTM)接口发送的消息。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/im-v1/batch_message/delete
查询批量消息推送和阅读人数,GET,/open-apis/im/v1/batch_messages/:batch_message_id/read_user,批量发送消息后，可以通过该接口查询批量消息推送的总人数和阅读人数。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/im-v1/batch_message/read_user
