id,name,bizTag,chargingMethod,detail,fullDose,fullPath,url,orderMark,supportAppTypes,tags,updateTime,isCharge,meta.Name,meta.Version,meta.Project,meta.Resource,meta.Type,docPath
7431073872102883356,转交审批任务,corehr,none,,true,/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/process-transfer/update,PUT:/open-apis/corehr/v2/processes/:process_id/transfer,0,"[""isv"", ""custom""]",[],1734523946,false,update,v2,corehr,process.transfer,1,https://open.feishu.cn/document/corehr-v1/process-form_variable_data/approver-task/update-2
7451269641491939329,创建薪资档案,compensation_management,basic,,true,/document/uAjLw4CM/ukTMukTMukTM/compensation-v1/archive/create,POST:/open-apis/compensation/v1/archives,0,"[""custom""]",[],1757469687,true,create,v1,compensation,archive,1,https://open.feishu.cn/document/corehr-v1/basic-compensation/archive/create
7314129756769746948,批量查询员工薪资档案,compensation_management,basic,,true,/document/uAjLw4CM/ukTMukTMukTM/compensation-v1/archive/query,POST:/open-apis/compensation/v1/archives/query,0,"[""custom""]",[],1737634225,true,query,v1,compensation,archive,1,https://open.feishu.cn/document/corehr-v1/basic-compensation/archive/query
7314129756769779716,批量查询薪资项,compensation_management,basic,,true,/document/uAjLw4CM/ukTMukTMukTM/compensation-v1/item/list,GET:/open-apis/compensation/v1/items,0,"[""custom""]",[],1715671196,true,list,v1,compensation,item,1,https://open.feishu.cn/document/corehr-v1/basic-compensation/compensation-component-and-metric/list-2
7314129756769796100,批量查询薪资统计指标,compensation_management,basic,,true,/document/uAjLw4CM/ukTMukTMukTM/compensation-v1/indicator/list,GET:/open-apis/compensation/v1/indicators,0,"[""custom""]",[],1715671220,true,list,v1,compensation,indicator,1,https://open.feishu.cn/document/corehr-v1/basic-compensation/compensation-component-and-metric/list-3
7314129756769763332,批量获取薪资项分类信息,compensation_management,basic,,true,/document/uAjLw4CM/ukTMukTMukTM/compensation-v1/item_category/list,GET:/open-apis/compensation/v1/item_categories,0,"[""custom""]",[],1715671243,true,list,v1,compensation,item_category,1,https://open.feishu.cn/document/corehr-v1/basic-compensation/compensation-component-and-metric/list
7182538601166028802,获取员工薪资标准,feishu_people,none,根据员工获取匹配的薪资标准信息。,true,/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/compensation_standard/match,GET:/open-apis/corehr/v1/compensation_standards/match,0,"[""isv"", ""custom""]",[],1747712106,false,match,v1,corehr,compensation_standard,1,https://open.feishu.cn/document/server-docs/corehr-v1/compensation_standard/match
7314129756769812484,批量查询薪资方案,compensation_management,basic,,true,/document/uAjLw4CM/ukTMukTMukTM/compensation-v1/plan/list,GET:/open-apis/compensation/v1/plans,0,"[""custom""]",[],1745981687,true,list,v1,compensation,plan,1,https://open.feishu.cn/document/corehr-v1/basic-compensation/plan/list
7314129756769730564,批量查询定调薪原因,compensation_management,basic,,true,/document/uAjLw4CM/ukTMukTMukTM/compensation-v1/change_reason/list,GET:/open-apis/compensation/v1/change_reasons,0,"[""custom""]",[],1715671291,true,list,v1,compensation,change_reason,1,https://open.feishu.cn/document/corehr-v1/basic-compensation/compensation-setting-and-adjustment/list
7420038908975415298,获取险种配置列表,compensation_management,basic,,true,/document/uAjLw4CM/ukTMukTMukTM/compensation-v1/social_insurance/list,GET:/open-apis/compensation/v1/social_insurances,0,"[""custom""]",[],1755844153,true,list,v1,compensation,social_insurance,1,https://open.feishu.cn/document/corehr-v1/basic-compensation/social_insurance/list
